Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Breath of the Wild (2017),230,19
2,The Legend of Zelda: Ocarina of Time (1998),169,16
3,Tetris (1984),162,13
4,The Last of Us (2013),140,15
5,Super Mario 64 (1996),125,13
6,Grand Theft Auto V (2013),106,14
7,Half-Life 2 (2004),98,12
8,The Witcher 3: Wild Hunt (2015),96,10
9,Minecraft (2011),86,11
10,Resident Evil 4 (2005),79,10
11,Portal 2 (2011),77,9
12,Super Mario World (1990),73,8
13,Final Fantasy VII (1997),72,7
14,Super Mario Bros. 3 (1988),69,8
15,Metal Gear Solid (1998),66,7
16,Red Dead Redemption 2 (2018),62,8
17,Street Fighter II (1991),59,11
18,Halo: Combat Evolved (2001),57,7
19,Shadow of the Colossus (2005),53,6
20,BioShock (2007),52,7
21,The Legend of Zelda: A Link to the Past (1991),52,5
22,Elden Ring (2022),46,5
23,Chrono Trigger (1995),42,5
24,Castlevania: Symphony of the Night (1997),41,5
25,Super Metroid (1994),39,6
26,The Elder Scrolls V: Skyrim (2011),37,5
27,Mass Effect 2 (2010),36,7
28,God of War (2018),32,6
29,Doom (1993),29,3
30,Super Mario Odyssey (2017),28,3
31,Pokémon Red (1996),27,3
32,Grand Theft Auto IV (2008),27,2
33,GoldenEye 007 (1997),25,3
34,Wii Sports (2006),24,3
35,Batman: Arkham City (2011),24,3
36,World of Warcraft (2004),23,3
37,Dark Souls (2011),23,3
38,Pokémon HeartGold (2009),22,3
39,Red Dead Redemption (2010),22,3
40,Super Mario Galaxy 2 (2010),21,2
41,Ms. Pac-Man (1982),21,2
42,Final Fantasy VI (1994),21,3
43,Bloodborne (2015),19,3
44,Pac-Man (1980),18,2
45,Disco Elysium (2019),18,4
46,Pokémon FireRed (2004),17,2
47,Pokémon Red Version (1996),16,2
48,Hades (2019),15,3
49,The Last of Us Part II (2020),15,1
50,The Legend of Zelda: Majora's Mask (2000),15,1
51,Tony Hawk's Pro Skater 2 (2000),14,1
52,Baldur's Gate 3 (2020),14,1
53,Grand Theft Auto III (2001),13,3
54,Metroid Prime (2002),13,3
55,Persona 5 Royal (2019),13,2
56,The Legend of Zelda (1986),13,1
57,Resident Evil 2 (1998),12,3
58,The Last of Us Part I (2022),12,1
59,Metal Gear Solid 2: Sons of Liberty (2001),12,2
60,SoulCalibur (1998),12,1
61,The Legend of Zelda: Tears of the Kingdom (2023),12,1
62,Persona 5 (2016),11,2
63,Super Mario Galaxy (2007),11,1
64,Mother 3 (2006),11,1
65,Super Smash Bros. Ultimate (2018),11,1
66,Teenage Mutant Ninja Turtles: Turtles in Time (1991),10,1
67,Street Fighter II: The World Warrior (1991),10,1
68,Silent Hill 2 (2001),10,2
69,Metal Gear Solid 3: Subsistence (2005),10,1
70,Sonic the Hedgehog 2 (1992),10,1
71,Tony Hawk's Pro Skater 3 (2001),9,2
72,God of War Ragnarök (2022),8,1
73,Pokémon Blue (1996),8,1
74,The Last of Us Remastered (2014),8,1
75,Disco Elysium: The Final Cut (2021),7,1
76,NieR: Automata (2017),7,1
77,Mortal Kombat (1993),6,1
78,Metroid Prime Remastered (2023),6,2
79,Grand Theft Auto: San Andreas (2004),6,1
80,Suikoden II (1998),6,1
81,Super Mario Kart (1992),5,1
82,ADOM: Ancient Domains of Mystery (2015),5,1
83,Mass Effect Legendary Edition (2021),4,1
84,Perfect Dark (2000),4,1
85,Persona 4 Golden (2012),4,1
86,Overwatch (2016),3,1
87,Celeste (2018),3,2
88,Mike Tyson's Punch-Out!! (1987),3,1
89,Uncharted 2: Among Thieves (2009),3,1
90,Divinity: Original Sin II (2017),3,1
91,StarCraft (1998),3,1
92,Shovel Knight (2014),2,1
93,Portal (2007),2,1
94,Dead Space (2023),2,1
95,Journey (2012),2,1
96,Super Smash Bros. Melee (2001),2,1
97,EarthBound (1994),1,1
98,Dark Souls III (2016),1,1
99,It Takes Two (2021),1,1
100,Call of Duty 4: Modern Warfare (2007),1,1
101,Assassin's Creed II (2009),1,1
102,Halo 2 (2004),1,1
103,Undertale (2015),1,1
104,SimCity (1989),1,1
105,Planescape: Torment (1999),1,1
