Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Balatro,2024-02-20,251833,15,2140,co752b
2,Astro Bot,2024-09-06,303811,14,2352,co8hl0
3,Metaphor: ReFantazio,2024-12-31,26602,13,2202,co7hkn
4,Helldivers 2,2024-02-08,250616,12,2196,co741o
5,Tactical Breach Wizards,2024-08-22,86286,11,2854,co8pzg
6,Animal Well,2024-05-09,191435,10,2848,co4hdh
7,UFO 50,2024-09-18,54555,9,2852,co24v0
8,Dragon's Dogma II,1970-01-01,115060,8,1524,co4vr8
9,Final Fantasy VII Rebirth,2023-12-31,133236,7,1001,co4vp0
10,The Rise of the Golden Idol,2024-11-12,279614,6,2855,co7h9f
11,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,5,2225,co7sly
12,Prince of Persia: The Lost Crown,2024-01-18,252476,4,2210,co6lli
13,Hades II,1970-01-01,228525,3,1008,co5va1
14,Lorelei and the Laser Eyes,2024-05-16,206806,2,2853,co4x7e
15,Fields of Mistria,2024-08-05,226035,1,2856,co7gwn
