Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Link's Awakening (1993),72,5
2,Pokémon Red Version (1996),65,5
3,Super Mario Land 2: 6 Golden Coins (1992),56,5
4,Tetris (1989),52,4
5,Pokémon Yellow Version: Special Pikachu Edition (1998),49,4
6,Metroid II: Return of Samus (1991),35,4
7,Final Fantasy Adventure (1991),31,4
8,Wario Land II (1998),26,3
9,Donkey Kong (1994),22,3
10,Wario Land: Super Mario Land 3 (1994),21,3
11,Super Mario Land (1989),18,2
12,Castlevania II: Belmont's Revenge (1991),15,2
13,Kirby's Dream Land 2 (1995),13,3
14,Contra III: The Alien Wars (1992),10,1
15,Dr. Mario (1990),10,2
16,Harvest Moon GB (1997),9,1
17,Kirby's Dream Land (1992),9,2
18,Donkey Kong Land (1995),8,1
19,Mole Mania (1996),8,1
20,Donkey Kong Land 2 (1996),7,2
21,Turok: Battle of the Bionosaurs (1997),7,1
22,R-Type (1987),6,1
23,Mario's Picross (1995),5,1
24,Killer Instinct (1995),5,1
25,Disney's DuckTales (1989),4,1
26,Game Boy Camera (1998),4,1
27,Final Fantasy Legend III (1991),2,1
28,Disney's DuckTales 2 (1993),1,1
