SourceName,SourceURL,SourceId,GeneratedCsvPath
GamesRadar+,https://www.gamesradar.com/best-ds-games/,129,gamesradar+ - 2024-10-03_23-52-39.csv
IGN,https://www.ign.com/articles/best-nintendo-ds-games,94,ign - 2023-08-08_02-08-36.csv
Nintendo Life,https://www.nintendolife.com/guides/50-best-nintendo-ds-games-of-all-time,130,nintendo life - 2023-08-08_02-11-27.csv
Retrododo,https://retrododo.com/best-nintendo-ds-games/,157,retrododo - 2023-08-08_02-18-51.csv
Denofgeek,https://www.denofgeek.com/games/best-nintendo-ds-games-ever/,171,denofgeek - 2023-08-08_02-23-14.csv
CBR,https://www.cbr.com/nintendo-ds-best-games/,179,cbr - 2023-08-08_02-24-42.csv
Destructoid,https://www.destructoid.com/best-classic-nintendo-ds-games-of-all-time-ranked/,176,destructoid - 2024-06-04_18-21-28.csv
Beebom,https://beebom.com/best-nintendo-ds-games/,209,beebom - 2024-10-03_23-53-19.csv
Tiermaker,https://tiermaker.com/categories/video-games/nintendo-ds-games-100-636750,393,tiermaker - 2024-10-03_23-47-56.csv
Watchmojo,https://www.watchmojo.com/articles/top-10-nintendo-ds-games,241,watchmojo - 2024-10-03_23-47-57.csv
Screenrant,https://screenrant.com/nintendo-ds-dual-screen-video-games-ranked-pokemon-final-fantasy/,205,screenrant - 2024-10-03_23-47-57.csv
One37pm,https://www.one37pm.com/gaming/best-ds-games,172,one37pm - 2024-10-03_23-47-58.csv
Eurogamer,https://www.eurogamer.pt/melhores-jogos-nintendo-ds,394,eurogamer - 2024-10-03_23-47-59.csv
