Position,Title,TotalScore,ListsAppeared
1,Halo 2 (2004),29,2
2,Halo: Combat Evolved (2001),28,2
3,Star Wars: Knights of the Old Republic (2003),24,2
4,Fable (2004),23,2
5,Ninja Gaiden (2004),19,2
6,Jet Set Radio Future (2002),14,2
7,The Elder Scrolls III: Morrowind (2002),13,2
8,Tom Clancy's Splinter Cell: Chaos Theory (2005),13,1
9,Psychonauts (2005),10,1
10,The Chronicles of Riddick: Escape from Butcher Bay (2004),10,1
11,Grand Theft Auto: Vice City (2002),9,1
12,Tom Clancy's Rainbow Six 3 (2003),8,1
13,Project Gotham Racing (2001),6,1
14,Crimson Skies: High Road to Revenge (2003),6,1
15,Jade Empire (2005),5,1
16,Project Gotham Racing 2 (2003),4,1
17,MechAssault (2002),3,1
18,Full Spectrum Warrior (2004),1,1
