SourceName,SourceURL,SourceId,GeneratedCsvPath
Upload VR,https://uploadvr.com/best-vr-games/,3,upload vr - 2023-03-23_22-29-46.csv
TecMasters,https://tecmasters.com.br/5-melhores-jogos-realidade-virtual/,41,tecmasters - 2023-03-23_22-35-17.csv
Hp,https://www.hp.com/br-pt/shop/tech-takes/melhores-jogos-realidade-virtual,136,hp - 2023-03-26_02-13-13.csv
WhatIfGaming,https://whatifgaming.com/best-vr-games/,137,whatifgaming - 2023-03-26_02-15-56.csv
Software Testing Help,https://www.softwaretestinghelp.com/best-vr-virtual-reality-games/,27,software testing help - 2023-03-26_02-18-03.csv
Metaverse Post,https://mpost.io/top-10-best-vr-games-of-all-time/,84,metaverse post - 2023-03-26_02-19-40.csv
Tom's Guide,https://www.tomsguide.com/best-picks/best-vr-games,102,tom's guide - 2023-03-26_02-23-22.csv
Udonis - Blog,https://www.blog.udonis.co/mobile-marketing/mobile-games/best-vr-games,104,udonis - blog - 2023-03-26_02-23-23.csv
VPNOverview,https://vpnoverview.com/privacy/devices/best-vr-games/,142,vpnoverview - 2023-03-26_02-38-28.csv
SensCritique,https://www.senscritique.com/top/resultats/les_meilleurs_jeux_en_realite_virtuelle/1582419,143,senscritique - 2023-03-26_02-45-44.csv
Liga dos Games,https://www.ligadosgames.com/jogos-de-realidade-virtual/,144,liga dos games - 2023-03-26_02-50-08.csv
