SourceName,SourceURL,SourceId,GeneratedCsvPath
Pushsquare,https://www.pushsquare.com/guides/best-psvr2-games,164,pushsquare - 2023-06-02_12-37-24.csv
Creativebloq,https://www.creativebloq.com/buying-guides/psvr-2-games,200,creativebloq - 2023-06-02_12-44-01.csv
