Position,Title,TotalScore,ListsAppeared
1,Grand Theft Auto: San Andreas (2004),142,10
2,Shadow of the Colossus (2005),129,11
3,Metal Gear Solid 3: Snake Eater (2004),116,9
4,Resident Evil 4 (2005),115,10
5,Final Fantasy X (2001),95,9
6,God of War II (2007),91,9
7,Silent Hill 2 (2001),77,8
8,Ōkami (2006),48,7
9,Ico (2001),44,7
10,God of War (2005),42,4
11,Devil May Cry 3: Dante's Awakening (2005),35,5
12,Burnout 3: Takedown (2004),32,5
13,Grand Theft Auto: Vice City (2002),31,4
14,Metal Gear Solid 2: Sons of Liberty (2001),31,4
15,Ratchet & Clank: Up Your Arsenal (2004),31,5
16,Jak and Daxter: The Precursor Legacy (2001),28,4
17,Kingdom Hearts II (2005),26,4
18,Devil May Cry (2001),22,3
19,Star Wars: Battlefront II (2005),21,2
20,Persona 4 (2008),20,3
21,Bully (2006),20,3
22,Prince of Persia: The Sands of Time (2003),19,3
23,Kingdom Hearts (2002),15,2
24,Jak II (2003),14,2
25,Katamari Damacy (2004),13,3
26,SOCOM II: U.S. Navy SEALs (2003),13,1
27,Virtua Fighter 4: Evolution (2002),13,2
28,TimeSplitters 2 (2002),12,2
29,Beyond Good & Evil (2003),12,2
30,Gran Turismo 3: A-Spec (2001),12,1
31,Tekken 5 (2004),10,2
32,Need for Speed: Hot Pursuit 2 (2002),10,1
33,Gauntlet Dark Legacy (2000),9,1
34,TimeSplitters: Future Perfect (2005),8,2
35,Spider-Man 2 (2004),8,1
36,SSX Tricky (2001),8,2
37,Sly 2: Band of Thieves (2004),8,3
38,Devil May Cry 3: Dante's Awakening - Special Edition (2006),8,1
39,Dark Cloud 2 (2002),8,1
40,Tony Hawk's Pro Skater 3 (2001),6,1
41,Tony Hawk's Underground (2003),5,2
42,Twisted Metal: Black (2001),3,1
43,ESPN NFL 2K5 (2004),2,1
44,Amplitude (2003),2,1
45,Rock Band 2 (2008),2,1
46,Grand Theft Auto III (2001),1,1
47,Tom Clancy's Splinter Cell: Chaos Theory (2005),1,1
48,Guitar Hero II (2006),1,1
49,Dragon Quest VIII: Journey of the Cursed King (2004),1,1
50,Need for Speed: Most Wanted (2005),1,1
51,Psychonauts (2005),1,1
52,Metal Gear Solid 2: Substance (2002),1,1
53,Def Jam: Fight for NY (2004),1,1
54,Gran Turismo 4 (2004),1,1
