Position,Title,TotalScore,ListsAppeared
1,What Remains of Edith Finch (2017),96,7
2,The Stanley Parable (2013),86,7
3,Gone Home (2013),82,7
4,Firewatch (2016),79,8
5,The Vanishing of Ethan Carter (2014),76,8
6,Journey (2012),64,6
7,Dear Esther (2012),36,4
8,Everybody's Gone to the Rapture (2015),33,4
9,Abzu (2016),23,3
10,Soma (2015),22,2
11,Proteus (2013),21,4
12,Virginia (2016),20,3
13,"That Dragon, Cancer (2016)",19,4
14,Layers of Fear (2016),17,2
15,Tacoma (2017),16,3
16,Death Stranding (2019),16,2
17,Death Stranding: Director's Cut (2021),15,1
18,Stray (2022),14,1
19,Return to Grace (2023),13,1
20,Yume Nikki (2004),13,1
21,Doors (2016),13,1
22,Remains (2021),12,1
23,Eastshade (2019),12,2
24,The Unfinished Swan (2012),12,2
25,Murdered: Soul Suspect (2014),12,1
26,Season: A Letter to the Future (2023),11,1
27,The Forgotten City (2021),11,1
28,The Walking Dead: No Man's Land (2015),11,1
29,The Gap (2023),10,1
30,Amnesia: The Dark Descent (2010),10,1
31,The Walking Dead: Season One - Episode 5: No Time Left (2012),10,1
32,Before I Forget (2020),10,1
33,Paradise Marsh (2022),9,1
34,The Witness (2016),9,1
35,The Walking Dead: Season Two (2013),9,1
36,Ether One (2014),8,2
37,The Walking Dead (2012),8,1
38,Frequency (2021),7,1
39,Life is Strange: Before the Storm (2017),7,1
40,Life is Strange: Episode 1 - Chrysalis (2015),6,1
41,Oxenfree (2016),5,1
42,Life is Strange (2015),5,1
43,Infra (2016),4,1
44,The Old City: Leviathan (2014),4,1
45,Kentucky Route Zero (2013),3,1
46,Miasmata (2012),3,1
47,Night in the Woods (2017),2,1
48,Before Your Eyes (2021),1,1
49,Lifeless Planet (2014),1,1
