SourceName,SourceURL,SourceId,GeneratedCsvPath
GamesRadar+,https://www.gamesradar.com/best-switch-games/,129,gamesradar+ - 2023-04-04_17-48-30.csv
Nintendo Life,https://www.nintendolife.com/guides/50-best-nintendo-switch-games-so-far,130,nintendo life - 2023-04-26_20-45-41.csv
IGN,https://www.ign.com/articles/best-nintendo-switch-games-2,94,ign - 2023-04-26_20-47-39.csv
Tom's Guide,https://www.tomsguide.com/round-up/best-nintendo-switch-games,102,tom's guide - 2023-05-03_00-10-17.csv
Paste Magazine,https://www.pastemagazine.com/games/nintendo-switch/the-15-best-nintendo-switch-games,127,paste magazine - 2023-05-03_00-13-35.csv
Pockettactics,https://www.pockettactics.com/best-switch-games,192,pockettactics - 2023-05-03_00-16-28.csv
News AU,https://www.news.com.au/best-of/electronics/home-entertainment/best-nintendo-switch-games/news-story/112e1d7351316dcadfc14e2bc2620b78,198,news au - 2023-05-15_13-23-39.csv
Stuff TV,https://www.stuff.tv/features/best-nintendo-switch-games/,93,stuff tv - 2023-05-15_13-29-38.csv
Pocket-lint,https://www.pocket-lint.com/best-nintendo-switch-games/,151,pocket-lint - 2023-05-15_13-37-50.csv
Switchscores,https://www.switchscores.com/top-rated/all-time,199,switchscores - 2023-05-15_13-41-08.csv
Creativebloq,https://www.creativebloq.com/buying-guides/best-nintendo-switch-games,200,creativebloq - 2023-05-15_13-49-45.csv
Edition,https://edition.cnn.com/cnn-underscored/electronics/best-nintendo-switch-games,201,edition - 2023-05-15_13-55-04.csv
Gaming Gorilla,https://gaminggorilla.com/best-nintendo-switch-games/,156,gaming gorilla - 2023-05-15_13-57-19.csv
Gamebyte,https://www.gamebyte.com/10-best-nintendo-switch-games/,202,gamebyte - 2023-05-15_14-08-52.csv
Laptopmag,https://www.laptopmag.com/best-picks/best-nintendo-switch-games,203,laptopmag - 2023-05-15_14-08-53.csv
Theloadout,https://www.theloadout.com/nintendo-switch/best-games,204,theloadout - 2023-05-15_14-10-53.csv
Retrododo,https://retrododo.com/best-nintendo-switch-games/,157,retrododo - 2023-05-15_14-14-25.csv
Metacritic,https://www.metacritic.com/browse/games/score/metascore/all/switch/filtered,141,metacritic - 2023-05-25_12-27-14.csv
Opencritic,https://opencritic.com/browse/switch,128,opencritic - 2023-05-25_12-30-28.csv
Eurogamer,https://www.eurogamer.de/nintendo-switch-die-besten-spiele,231,eurogamer - 2023-06-18_23-33-15.csv
Techstage,https://www.techstage.de/bestenliste/top-10-die-besten-spiele-fuer-nintendo-switch/8lysqf9,232,techstage - 2023-06-18_23-33-17.csv
Gamestar,"https://www.gamestar.de/artikel/beste-spiele-nintendo-switch-2023,3393370.html",233,gamestar - 2023-06-18_23-33-18.csv
Thegamer,https://www.thegamer.com/nintendo-switch-best-games-of-all-time-ranked,193,thegamer - 2023-09-15_17-44-00.csv
Whatoplay,https://whatoplay.com/switch/best/,155,whatoplay - 2023-09-15_17-47-57.csv
Inverse,https://www.inverse.com/gaming/nintendo-switch-best-games,238,inverse - 2023-09-15_17-50-22.csv
One37pm,https://www.one37pm.com/gaming/best-nintendo-switch-games,172,one37pm - 2023-09-18_01-25-19.csv
History-computer,https://history-computer.com/reddits-best-switch-games/,253,history-computer - 2023-09-18_01-29-05.csv
