Position,Title,TotalScore,ListsAppeared
1,Undertale (2015),111,10
2,Stardew Valley (2016),109,12
3,Hollow Knight (2017),107,12
4,Limbo (2010),106,9
5,Braid (2008),103,8
6,Cuphead (2017),89,9
7,Celeste (2018),86,10
8,Inside (2016),85,8
9,Minecraft (2011),85,8
10,Disco Elysium (2019),84,9
11,Hotline Miami (2012),73,9
12,Hades (2019),72,9
13,Journey (2012),65,5
14,Shovel Knight (2014),46,5
15,The Binding of Isaac (2011),42,4
16,Fez (2012),37,4
17,Furi (2016),34,4
18,Among Us (2018),34,3
19,"Papers, Please (2013)",31,5
20,The Binding of Isaac: Rebirth (2014),30,2
21,Super Meat Boy (2010),30,4
22,Ori and the Will of the Wisps (2020),29,2
23,Return of the Obra Dinn (2018),28,2
24,Stray (2022),27,3
25,Outer Wilds (2019),26,2
26,Spelunky Classic (2008),24,2
27,Valheim (2021),23,2
28,Spelunky (2012),23,2
29,Dead Cells (2018),22,3
30,Crypt of the NecroDancer (2014),20,2
31,Firewatch (2016),18,4
32,The Case of the Golden Idol (2022),17,2
33,The Stanley Parable (2013),17,2
34,The Forest (2018),17,2
35,Spiritfarer (2020),16,3
36,Thumper (2016),16,2
37,It Takes Two (2021),15,1
38,Divinity: Original Sin II (2017),15,1
39,SuperHot (2016),14,2
40,Dear Esther (2012),14,2
41,Ori and the Blind Forest (2015),14,1
42,SteamWorld Dig 2 (2017),13,2
43,Subnautica (2018),13,2
44,FAR: Lone Sails (2018),13,2
45,Rocket League (2015),13,2
46,Fall Guys (2020),13,1
47,Darkest Dungeon (2016),13,2
48,Terraria (2011),12,3
49,Rise & Shine (2017),11,1
50,Don't Starve (2013),11,2
51,Amnesia: The Dark Descent (2010),11,1
52,Into the Breach (2018),11,1
53,To the Moon (2011),9,1
54,Devil Daggers (2016),9,1
55,The Witness (2016),9,1
56,Rogue Legacy (2013),8,1
57,Cave Story (2004),8,2
58,Gone Home (2013),8,1
59,Runner2: Future Legend of Rhythm Alien (2013),8,1
60,Enter the Gungeon (2016),7,2
61,Project Zomboid (2013),7,1
62,World of Goo (2008),7,1
63,What Remains of Edith Finch (2017),7,1
64,Citizen Sleeper (2022),6,2
65,Moonlighter (2018),6,1
66,Overcooked! (2016),6,1
67,Nidhogg (2014),6,1
68,FAR: Changing Tides (2022),6,1
69,Kerbal Space Program (2015),6,1
70,Vampire Survivors (2021),5,2
71,This War of Mine (2014),5,2
72,Gris (2018),5,1
73,Bastion (2011),4,1
74,A Night in the Woods (2014),4,2
75,ElecHead (2021),4,1
76,Gorogoa (2017),4,1
77,Kentucky Route Zero (2013),4,2
78,Dusk (2018),4,1
79,Broforce (2015),3,1
80,Hyper Light Drifter (2016),3,1
81,Boomerang X (2021),2,1
82,Night in the Woods (2017),2,2
83,Teslagrad (2013),2,1
84,Outlast (2013),2,1
85,Inscryption (2021),1,1
86,RiME (2017),1,1
87,Ikaruga (2001),1,1
88,Owlboy (2016),1,1
89,Broken Age (2014),1,1
