Position,Title,TotalScore,ListsAppeared
1,Final Fantasy VII Rebirth (2023),136,11
2,Star Wars Outlaws (2024),109,9
3,Like a Dragon: Infinite Wealth (2024),77,8
4,Tekken 8 (1970),71,7
5,Senua's Saga: Hellblade II (2024),54,5
6,Hades II (1970),53,6
7,Dragon's Dogma II (1970),45,5
8,Princess Peach: Showtime! (2024),45,5
9,S.T.A.L.K.E.R. 2: Heart of Chornobyl (2023),43,4
10,Avowed (2024),36,3
11,Skull and Bones (2024),33,3
12,Prince of Persia: The Lost Crown (2024),30,3
13,Silent Hill 2 (1970),26,2
14,Alone in the Dark (2024),22,2
15,Black Myth: Wukong (2024),21,2
16,Unicorn Overlord (2024),20,2
17,Paper Mario: The Thousand-Year Door (2004),19,3
18,Hollow Knight: Silksong (2023),19,2
19,Rise of the Ronin (2024),18,2
20,The Wolf Among Us 2 (2024),17,2
21,Persona 3 Reload (2024),15,2
22,Destiny 2: The Final Shape (2024),14,1
23,Indiana Jones and the Great Circle (2024),14,2
24,Crimson Desert (1970),13,1
25,Suicide Squad: Kill the Justice League (2024),13,2
26,Tomb Raider I•II•III Remastered (2024),13,1
27,Metal Gear Solid 3: Snake Eater (2004),13,1
28,Brothers: A Tale of Two Sons Remake (2024),12,1
29,Fable (1970),12,1
30,Microsoft Flight Simulator 2024 (2024),12,2
31,Earth Defense Force 6 (2022),12,1
32,Metaphor: ReFantazio (2024),12,2
33,Grand Theft Auto VI (2025),12,1
34,Elden Ring: Shadow of the Erdtree (2024),11,1
35,"Warhammer 40,000: Space Marine II (2024)",10,1
36,Vampire: The Masquerade - Bloodlines 2 (2024),10,1
37,South Park: Snow Day! (2024),9,1
38,Palworld (2024),9,1
39,Helldivers 2 (2024),9,1
40,Homeworld 3 (2024),8,1
41,The Last of Us Part II: Remastered (2024),8,1
42,World of Goo 2 (2024),8,1
43,The Plucky Squire (2024),7,1
44,No Rest for the Wicked (2024),7,1
45,Final Fantasy XIV: Dawntrail (2024),7,1
46,Mario vs. Donkey Kong (2024),6,1
47,Jurassic Park: Survival (1970),6,1
48,Metal Gear Solid Delta: Snake Eater (1970),6,1
49,Little Nightmares III (2024),5,1
50,Lost Records: Bloom & Rage (2024),4,1
51,Luigi's Mansion 2 HD (2024),3,1
52,Dragon Age: Dreadwolf (1970),3,1
53,Pacific Drive (2024),2,1
