Position,Title,TotalScore,ListsAppeared
1,The Witcher 3: Wild Hunt (2015),44,3
2,Metal Gear Solid V: The Phantom Pain (2015),36,3
3,Fallout 4 (2015),32,3
4,Rocket League (2015),24,2
5,Bloodborne (2015),24,2
6,Until Dawn (2015),24,3
7,Rise of the Tomb Raider (2015),23,2
8,Batman: Arkham Knight (2015),21,2
9,Ori and the Blind Forest (2015),20,2
10,Tales from the Borderlands (2014),17,3
11,Super Mario Maker (2015),15,2
12,Splatoon (2015),13,3
13,Her Story (2015),11,2
14,The Talos Principle (2014),10,1
15,Undertale (2015),7,1
16,Kerbal Space Program (2015),6,1
17,Halo 5: Guardians (2015),6,1
18,Sunless Sea (2015),6,1
19,Off-Peak (2015),5,1
20,Assassin's Creed Syndicate (2015),4,1
21,Cities: Skylines (2015),3,1
22,Tearaway: Unfolded (2015),3,1
23,Dying Light (2015),2,1
24,Everybody's Gone to the Rapture (2015),2,1
25,Xenoblade Chronicles X (2015),1,1
26,Game of Thrones: A Telltale Games Series (2014),1,1
