Position,Title,TotalScore,ListsAppeared
1,Resident Evil 4 (2005),44,3
2,Shadow of the Colossus (2005),40,3
3,God of War (2005),35,3
4,Mario Kart DS (2005),22,2
5,Battlefield 2 (2005),16,2
6,Sid Meier's Civilization IV (2005),15,2
7,Guitar Hero (2005),13,1
8,Need for Speed: Most Wanted (2005),13,1
9,Fahrenheit: Indigo Prophecy - Director's Cut (2005),12,1
10,The Warriors (2005),12,1
11,Dragon Quest VIII: Journey of the Cursed King (2004),11,1
12,Grand Theft Auto: Liberty City Stories (2005),11,1
13,World of Warcraft (2004),10,1
14,The Incredible Hulk: Ultimate Destruction (2005),10,1
15,Metal Gear Solid 3: Snake Eater (2004),9,1
16,Call of Duty 2 (2005),9,2
17,WarioWare: Twisted! (2004),8,1
18,World Soccer: Winning Eleven 9 (2005),7,1
19,Jade Empire (2005),7,1
20,Animal Crossing: Wild World (2005),7,1
21,Half-Life 2 (2004),6,1
22,King Kong: The Official Mobile Game of the Movie (2005),6,1
23,Grand Theft Auto: San Andreas (2004),4,1
24,Lumines (2004),2,1
25,F.E.A.R. (2005),1,1
