SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/articles/the-10-best-dreamcast-games,94,ign - 2023-05-31_14-23-27.csv
Retrododo,https://retrododo.com/best-dreamcast-games/,157,retrododo - 2023-08-08_20-13-22.csv
