Position,Title,TotalScore,ListsAppeared
1,GoldenEye 007 (1997),43,3
2,Final Fantasy VII (1997),39,3
3,Castlevania: Symphony of the Night (1997),27,2
4,Fallout (1997),20,2
5,Star Fox 64 (1997),16,2
6,Marvel Super Heroes vs. Street Fighter (1997),15,1
7,Star Wars: Jedi Knight - Dark Forces II (1997),14,2
8,Broken Sword: The Smoking Mirror (1997),13,1
9,Tekken 3 (1997),13,1
10,Age of Empires (1997),12,1
11,The Curse of Monkey Island (1997),11,1
12,Gran Turismo (1997),10,1
13,Duke Nukem 3D (1996),9,1
14,Sonic the Hedgehog 3 (1994),8,1
15,Tetrisphere (1997),8,1
16,BS Zelda no Densetsu: Inishie no Sekiban (1997),7,1
17,Total Annihilation (1997),7,1
18,Azure Dreams (1997),6,1
19,Grand Theft Auto (1997),5,1
20,DoDonPachi (1997),5,1
21,Armored Core (1997),4,1
22,Myth: The Fallen Lords (1997),4,1
23,Breath of Fire III (1997),3,1
24,Carmageddon (1997),2,1
25,Oddworld: Abe's Oddysee (1997),2,1
26,Sonic R (1997),1,1
27,Mega Man X4 (1997),1,1
