Position,Title,TotalScore,ListsAppeared
1,Grand Theft Auto V (2013),39,3
2,BioShock (2007),31,3
3,The Elder Scrolls V: Skyrim (2011),31,3
4,Mass Effect 2 (2010),28,2
5,Red Dead Redemption (2010),26,3
6,Halo 3 (2007),26,2
7,Portal 2 (2011),21,2
8,Dark Souls (2011),19,3
9,Halo: Reach (2010),15,2
10,Batman: Arkham City (2011),15,3
11,Mass Effect Trilogy (2012),15,1
12,The Orange Box (2007),14,2
13,Portal (2007),12,1
14,Call of Duty 4: Modern Warfare (2007),12,2
15,Grand Theft Auto IV (2008),11,1
16,Fallout 3 (2008),8,1
17,Rock Band 3 (2010),7,1
18,The Elder Scrolls IV: Oblivion (2006),6,1
19,Rise of the Tomb Raider (2015),5,1
20,BioShock Infinite (2013),4,1
21,Halo 4 (2012),4,1
22,Ultra Street Fighter IV (2014),3,1
23,Dead Space 2 (2011),2,1
24,Gears of War (2006),2,1
25,Mirror's Edge (2008),2,1
26,The Walking Dead: Season One (2012),1,1
27,Limbo (2010),1,1
