Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: A Link to the Past (1991),29,2
2,Chrono Trigger (1995),27,2
3,Super Mario World (1990),26,2
4,Super Metroid (1994),25,2
5,Super Mario World 2: Yoshi's Island (1995),19,2
6,Super Mario RPG: Legend of the Seven Stars (1996),15,2
7,Final Fantasy VI (1994),12,1
8,Final Fantasy III (1990),11,1
9,Street Fighter II Turbo (1993),10,1
10,EarthBound (1994),10,2
11,Super Mario Kart (1992),8,1
12,Mega Man X (1993),8,2
13,Super Mario All-Stars (1993),8,1
14,Star Fox (1993),7,1
15,Donkey Kong Country 2: Diddy's Kong Quest (1995),6,1
16,Secret of Mana (1993),5,1
17,Teenage Mutant Ninja Turtles IV: Turtles in Time (1992),5,1
18,Donkey Kong Country (1994),3,1
19,Final Fantasy IV (1991),2,1
20,Street Fighter II Turbo: Hyper Fighting (1992),2,1
21,Tetris (1994),1,1
22,Super Castlevania IV (1991),1,1
