Position,Title,TotalScore,ListsAppeared
1,Baldur's Gate 3 (2020),373,26
2,The Legend of Zelda: Tears of the Kingdom (2023),371,27
3,Alan Wake II (2023),290,22
4,Resident Evil 4 (2023),224,25
5,Marvel's Spider-Man 2 (2023),215,22
6,Super Mario Bros. Wonder (2023),183,21
7,Street Fighter 6 (2023),166,20
8,Star Wars Jedi: Survivor (2023),118,16
9,Final Fantasy XVI (2023),86,11
10,Armored Core VI: Fires of Rubicon (2023),78,12
11,Diablo IV (2023),76,10
12,Hi-Fi Rush (2023),73,15
13,Dead Space (2023),66,10
14,Cocoon (2023),65,7
15,Sea of Stars (2023),52,9
16,Dredge (2023),52,9
17,Lies of P (2023),46,6
18,Starfield (2023),41,6
19,Dave the Diver (2022),39,6
20,Pikmin 4 (2023),38,9
21,Metroid Prime Remastered (2023),38,4
22,Cyberpunk 2077: Phantom Liberty (2023),37,6
23,Venba (2023),22,4
24,Jusant (2023),22,4
25,"El Paso, Elsewhere (2023)",19,3
26,Octopath Traveler II (2023),18,3
27,A Space for the Unbound (2023),18,2
28,The Cosmic Wheel Sisterhood (2023),16,3
29,Paranormasight: The Seven Mysteries of Honjo (2023),16,3
30,Pizza Tower (2023),13,2
31,The Talos Principle II (2023),12,1
32,Horizon Call of the Mountain (2023),12,2
33,Videoverse (2023),12,1
34,Thirsty Suitors (2023),12,1
35,The Witcher 3: Wild Hunt - Complete Edition (2016),11,1
36,System Shock (2023),11,1
37,Mortal Kombat 1 (2023),10,3
38,Tetris Effect: Connected (2020),10,1
39,Turbo Overkill (2022),10,2
40,Tents and Trees (2018),10,1
41,Humanity (2023),10,1
42,Hogwarts Legacy (2023),9,2
43,Cuttlefish (1970),9,1
44,He Fucked the Girl Out of Me (2022),9,1
45,Remnant II (2023),8,1
46,Class of '09: The Re-Up (2023),8,1
47,The Banished Vault (2023),8,1
48,Star Ocean: The Second Story R (2023),8,1
49,Assassin's Creed Mirage (2023),7,1
50,Theatrhythm Final Bar Line (2023),7,1
51,Slay the Princess (2023),7,2
52,Bomb Rush Cyberfunk (2023),7,1
53,Fire Emblem Engage (2023),6,2
54,Xenoblade Chronicles 3 + Xenoblade Chronicles 3 Expansion Pass (2022),6,1
55,8-Bit Adventures 2 (2023),6,1
56,Saltsea Chronicles (2023),6,1
57,Shadow Gambit: The Cursed Crew (2023),4,1
58,Bayonetta Origins: Cereza and the Lost Demon (2023),4,2
59,Ys VIII: Lacrimosa of Dana - Deluxe Edition (2022),4,1
60,Resident Evil 4: Separate Ways (2023),3,1
61,Xenoblade Chronicles 3: Future Redeemed (2023),3,1
62,Gravity Circuit (2023),3,1
63,The 7th Guest VR (2023),2,1
64,Jack Jeanne (2021),2,1
65,Robocop: Rogue City (2023),1,1
66,Atelier Ryza 3: Alchemist of the End & the Secret Key (2023),1,1
