SourceName,SourceURL,SourceId,GeneratedCsvPath
Gamerant,https://gamerant.com/best-survival-horror-games/,218,gamerant - 2024-03-29_04-08-04.csv
Thegamer,https://www.thegamer.com/best-survival-horror-games-all-time/,193,thegamer - 2024-03-29_04-10-23.csv
Metacritic,https://www.metacritic.com/browse/game/all/survival/,141,metacritic - 2024-03-29_04-13-44.csv
One37pm,https://www.one37pm.com/gaming/best-survival-horror-games,172,one37pm - 2024-03-29_04-16-22.csv
Gameranx,https://gameranx.com/features/id/297419/article/30-best-survival-horror-games-of-all-time/,274,gameranx - 2024-03-29_04-18-32.csv
Ranker,https://www.ranker.com/crowdranked-list/the-greatest-survival-horror-games-of-all-time,262,ranker - 2024-03-29_04-20-19.csv
Insider-gaming,https://insider-gaming.com/7-best-survival-horror-games-ranked/,384,insider-gaming - 2024-03-29_04-21-43.csv
Dualshockers,https://www.dualshockers.com/best-survival-horror-games-ranked/,180,dualshockers - 2024-03-29_04-23-56.csv
GamesRadar+,https://www.gamesradar.com/best-horror-games/,129,gamesradar+ - 2024-03-29_04-26-54.csv
Screenrant,https://screenrant.com/best-horror-games-play-now/,205,screenrant - 2024-03-29_04-29-31.csv
CBR,https://www.cbr.com/scariest-video-games-of-all-time/,179,cbr - 2024-03-29_04-32-58.csv
Rockpapershotgun,https://www.rockpapershotgun.com/the-best-horror-games,276,rockpapershotgun - 2024-03-29_04-35-29.csv
