Position,Title,TotalScore,ListsAppeared
1,Mario Kart 8 (2014),30,2
2,Alien: Isolation (2014),25,2
3,Bayonetta 2 (2014),23,2
4,Middle-earth: Shadow of Mordor (2014),22,2
5,Destiny (2014),21,2
6,Dark Souls II (2014),17,2
7,Dragon Age: Inquisition (2014),16,2
8,Super Smash Bros. for Wii U (2014),11,2
9,Forza Horizon 2 (2014),11,1
10,The Last of Us Remastered (2014),10,1
11,Wolfenstein: The New Order (2014),9,2
12,South Park: The Stick of Truth (2014),9,2
13,Far Cry 4 (2014),9,2
14,This War of Mine (2014),9,1
15,Grand Theft Auto V (2013),7,1
16,Never Alone (2014),5,1
17,Diablo III: Reaper of Souls (2014),4,1
18,Driveclub (2014),1,1
19,The Vanishing of Ethan Carter (2014),1,1
