Position,Title,TotalScore,ListsAppeared
1,Elden Ring (2022),147,10
2,God of War Ragnarök (2022),106,9
3,Immortality (2022),62,5
4,Vampire Survivors (2021),53,5
5,Tunic (2022),46,4
6,Marvel Snap (2022),40,4
7,Norco (2022),39,5
8,Horizon Forbidden West (2022),38,4
9,Citizen Sleeper (2022),36,3
10,Stray (2022),32,3
11,Neon White (2022),31,5
12,Pentiment (2022),30,6
13,Kirby and the Forgotten Land (2022),25,2
14,Xenoblade Chronicles 3 (2022),21,3
15,Signalis (2022),21,4
16,The Case of the Golden Idol (2022),20,2
17,Cult of the Lamb (2022),19,2
18,Total War: Warhammer III (2022),18,2
19,Sifu (2022),15,2
20,Wordle (2021),15,1
21,Bayonetta 3 (2022),12,2
22,Call of Duty: Modern Warfare 2 (2009),11,1
23,Fortnite (2017),11,1
24,The Stanley Parable: Ultra Deluxe (2022),10,1
25,The Quarry (2022),10,1
26,Rollerdrome (2022),10,1
27,Patrick's Parabox (2022),10,1
28,Mothmen 1966 (2022),9,1
29,Sniper Elite 5 (2022),9,1
30,Roadwarden (2022),8,1
31,Pokémon Legends: Arceus (2022),8,1
32,Weird West (2022),7,1
33,Mario + Rabbids Sparks of Hope (2022),7,2
34,PowerWash Simulator (2021),7,1
35,Strange Horticulture (2022),6,2
36,Betrayal At Club Low (2022),6,1
37,OlliOlli World (2022),5,1
38,Wayward Strand (2022),5,1
39,Nintendo Switch Sports (2022),5,1
40,Saturnalia (2022),4,1
41,As Dusk Falls (2022),3,1
42,Faith: The Unholy Trinity (2022),3,1
43,Splatoon 3 (2022),3,1
44,The Excavation of Hob's Barrow (2022),2,1
45,Hardspace: Shipbreaker (2020),2,1
46,Teenage Mutant Ninja Turtles: Shredder's Revenge (2022),1,1
