Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Breath of the Wild (2017),15,1
2,The Legend of Zelda: The Wind Waker HD (2013),14,1
3,Mario Kart 8 (2014),13,1
4,Bayonetta 2 (2014),12,1
5,Donkey Kong Country: Tropical Freeze (2014),11,1
6,Splatoon (2015),10,1
7,Super Smash Bros. for Wii U (2014),9,1
8,Pikmin 3 (2013),8,1
9,The Legend of Zelda: Twilight Princess HD (2016),7,1
10,Xenoblade Chronicles X (2015),6,1
11,Rayman Legends (2013),5,1
12,Shovel Knight (2014),4,1
13,Super Mario 3D World (2013),3,1
14,Batman: Arkham City (2011),2,1
15,Super Mario Maker (2015),1,1
