Position,Title,TotalScore,ListsAppeared
1,Metal Gear Solid (1998),220,15
2,Final Fantasy VII (1997),203,16
3,Resident Evil 2 (1998),155,14
4,Castlevania: Symphony of the Night (1997),150,12
5,Tekken 3 (1997),116,13
6,Tony Hawk's Pro Skater 2 (2000),104,10
7,Silent Hill (1999),93,10
8,Gran Turismo 2 (1999),75,8
9,Crash Bandicoot: Warped (1998),56,9
10,Legacy of Kain: Soul Reaver (1999),34,6
11,Xenogears (1998),34,4
12,Spider-Man (2000),34,4
13,Chrono Cross (1999),33,4
14,Spyro the Dragon (1998),33,5
15,Gran Turismo (1997),30,3
16,Vagrant Story (2000),30,5
17,Final Fantasy IX (2000),29,5
18,Crash Bandicoot (1996),28,3
19,Suikoden II (1998),25,3
20,MediEvil (1998),22,3
21,Medal of Honor (1999),20,2
22,Spyro: Year of the Dragon (2000),20,2
23,Driver (1999),19,4
24,Tomb Raider II (1997),17,3
25,Syphon Filter (1999),17,2
26,Final Fantasy Tactics (1997),16,2
27,Crash Bandicoot 2: Cortex Strikes Back (1997),15,2
28,Blood Omen: Legacy of Kain (1996),15,1
29,The Legend of Dragoon (1999),13,3
30,Marvel vs. Capcom: Clash of Super Heroes (1998),13,1
31,Tomb Raider (1996),13,2
32,Resident Evil 3: Nemesis (1999),11,1
33,Twisted Metal 2 (1996),11,1
34,Oddworld: Abe's Oddysee (1997),10,2
35,Final Fantasy VI (1994),10,1
36,World Soccer: Winning Eleven (2002),10,1
37,Tenchu 2: Birth of the Stealth Assassins (2000),9,1
38,Dino Crisis (1999),8,1
39,Resident Evil (1996),8,1
40,Street Fighter Alpha 3 (1998),8,2
41,Ridge Racer Type 4 (1998),8,1
42,Driver 2: Back on the Streets (2000),7,1
43,Heart of Darkness (1998),7,1
44,Ape Escape (1999),7,1
45,Metal Slug X (1999),7,1
46,Twisted Metal (1995),6,1
47,PaRappa the Rapper (1996),6,1
48,The Need for Speed (1994),6,1
49,Sid Meier's Civilization II (1996),6,1
50,Wipeout XL (1996),5,1
51,Crash Team Racing (1999),5,2
52,Twisted Metal III (1998),5,1
53,Final Fantasy VIII (1999),5,1
54,Spyro 2: Ripto's Rage! (1999),4,1
55,Oddworld: Abe's Exoddus (1998),2,1
56,Medal of Honor: Underground (2000),1,1
