Position,Title,TotalScore,ListsAppeared
1,Astro Bot (2024),100,7
2,Metaphor: ReFantazio (2024),67,6
3,Final Fantasy VII Rebirth (2023),63,7
4,Helldivers 2 (2024),62,7
5,Balatro (2024),58,6
6,Silent Hill 2 (1970),57,5
7,Elden Ring: Shadow of the Erdtree (2024),45,4
8,Dragon Age: The Veilguard (1970),45,4
9,Indiana Jones and the Great Circle (2024),42,4
10,Dragon's Dogma II (1970),35,5
11,Black Myth: Wukong (2024),32,4
12,UFO 50 (2024),28,4
13,Animal Well (2024),26,3
14,Neva (2024),21,2
15,The Legend of Zelda: Echoes of Wisdom (2024),16,3
16,Thank Goodness You’re Here! (2024),16,3
17,Tactical Breach Wizards (2024),13,2
18,Tekken 8 (1970),11,3
19,Alan Wake II: The Lake House (2024),10,1
20,Mouthwashing (2024),8,1
21,Like a Dragon: Infinite Wealth (2024),8,1
22,Star Wars Outlaws: Gold Edition (2024),8,1
23,Prince of Persia: The Lost Crown (2024),7,2
24,Like a Dragon: Infinite Wealth Special Trial Version (2023),7,2
25,Lorelei and the Laser Eyes (2024),7,3
26,LEGO Horizon Adventures (2024),7,1
27,The Rise of the Golden Idol (2024),6,1
28,Hades II (1970),3,1
29,Unicorn Overlord (2024),1,1
30,Fields of Mistria (2024),1,1
