Position,Title,TotalScore,ListsAppeared
1,Chrono Trigger (1995),85,6
2,Super Mario World 2: Yoshi's Island (1995),68,5
3,Donkey Kong Country 2: Diddy's Kong Quest (1995),65,5
4,Panzer Dragoon (1995),35,3
5,Ristar (1995),25,3
6,Sega Rally Championship (1994),23,2
7,Marvel Super Heroes (1995),19,2
8,EarthBound (1994),19,2
9,Virtua Fighter 2 (1994),15,1
10,The Beast Within: A Gabriel Knight Mystery (1995),14,1
11,Ridge Racer Revolution (1995),14,1
12,Terranigma (1995),13,1
13,Mega Man X3 (1995),13,2
14,Marathon 2: Durandal (1995),13,1
15,Tekken (1994),13,1
16,International Superstar Soccer Deluxe (1995),12,1
17,Mega Man 7 (1995),12,2
18,Dragon Quest VI: Maboroshi no Daichi (1995),12,1
19,Fushigi no Dungeon 2: Fuurai no Shiren (1995),12,1
20,Far East of Eden: Kabuki Klash (1995),11,1
21,Destruction Derby (1995),11,1
22,Kirby Super Star (1996),11,1
23,Suikoden (1995),11,1
24,Ultimate Mortal Kombat 3 (1995),10,1
25,Virtua Fighter Remix (1995),10,1
26,Shinobi Legions (1995),9,1
27,Vectorman (1995),9,1
28,Rayman (1995),9,1
29,King's Field II (1995),9,1
30,Metamoqester (1995),8,1
31,Soul Blade (1995),8,1
32,Wipeout (1995),8,1
33,Boxer's Road (1970),8,1
34,Trials of Mana (1995),7,1
35,Warhawk (1995),7,1
36,Mighty Morphin Power Rangers: The Movie (1995),7,1
37,Star Wars: Dark Forces (1995),7,1
38,Comix Zone (1995),7,1
39,Shin Megami Tensei: Devil Summoner (1995),7,1
40,Lufia II: Rise of the Sinistrals (1995),6,1
41,Breath of Fire II (1994),6,1
42,Top Gear 3000 (1994),4,1
43,Mortal Kombat 3 (1995),2,1
44,Castlevania: Dracula X (1995),1,1
