SourceName,Count,Datasets
Thetoptens,6,best_games_of_2007;best_games_of_the_playstation_3;best_mobile_games_of_all_time;best_open-world_games_of_all_time;best_rpg_games_of_all_time;best_rts_games_of_all_time
Tom's Guide,6,best_games_of_the_nintendo_switch;best_games_of_the_playstation_4;best_games_of_the_playstation_5;best_games_of_the_xbox_series_x_s;best_open-world_games_of_all_time;best_vr_games_of_all_time
Destructoid,5,best_games_of_the_nintendo_ds;best_games_of_the_playstation_2;best_games_of_the_playstation_3;best_games_of_the_wii;best_open-world_games_of_all_time
Empireonline,5,best_games_of_2020;best_games_of_2021;best_games_of_2023;best_games_of_2024;best_games_of_all_time
Gameranx,5,best_action_adventure_games_of_all_time;best_indie_games_of_the_nintendo_switch;best_open-world_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time
Inverse,5,best_games_of_2023;best_games_of_the_nintendo_switch;best_indie_games_of_2023;most_anticipated_games_of_2023;most_anticipated_games_of_2024
Paste Magazine,5,best_games_of_2023;best_games_of_the_nintendo_switch;best_games_of_the_playstation_4;best_games_of_the_playstation_5;best_games_of_the_xbox_series_x_s
Pocket-lint,5,best_games_of_2022;best_games_of_meta_quest_3;best_games_of_the_nintendo_switch;best_games_of_the_playstation_4;best_indie_games_of_the_nintendo_switch
Ranker,5,best_action_adventure_games_of_all_time;best_mmorpg_games_of_all_time;best_narrative_games_of_all_time;best_survival_horror_games_of_all_time;best_walking_simulator_games_of_all_time
Screenrant,5,best_games_of_2015;best_games_of_the_nintendo_ds;best_games_of_the_xbox_series_x_s;best_pc_games_of_all_time;best_survival_horror_games_of_all_time
SensCritique,5,best_games_of_1999;best_games_of_2000;best_games_of_all_time;best_games_of_the_playstation_5;best_vr_games_of_all_time
The Guardian,5,best_games_of_2014;best_games_of_2021;best_games_of_2022;best_games_of_2023;best_games_of_2024
Gaming,4,best_games_of_all_time;best_indie_games_of_2023;best_open-world_games_of_all_time;best_rts_games_of_all_time
