Position,Title,TotalScore,ListsAppeared
1,The Walking Dead: Season One (2012),27,2
2,Far Cry 3 (2012),24,2
3,Journey (2012),24,2
4,Mass Effect 3 (2012),21,2
5,Borderlands 2 (2012),20,2
6,XCOM: Enemy Unknown (2012),19,2
7,Dishonored (2012),15,2
8,Xenoblade Chronicles (2010),15,1
9,Halo 4 (2012),12,1
10,Max Payne 3 (2012),9,2
11,Darksiders II (2012),9,1
12,Sleeping Dogs (2012),8,1
13,Final Fantasy XIII-2 (2011),7,1
14,Assassin's Creed III (2012),6,1
15,Persona 4 Golden (2012),5,1
16,Fez (2012),3,1
17,Zero Escape: Virtue's Last Reward (2012),1,1
