Position,Title,TotalScore,ListsAppeared
1,Portal 2 (2011),42,3
2,Batman: Arkham City (2011),36,3
3,The Elder Scrolls V: Skyrim (2011),36,3
4,Uncharted 3: Drake's Deception (2011),27,3
5,Dead Space 2 (2011),26,3
6,The Legend of Zelda: Skyward Sword (2011),25,2
7,Deus Ex: Human Revolution (2011),20,3
8,Gears of War 3 (2011),19,2
9,Dark Souls (2011),15,1
10,Minecraft (2011),14,1
11,Terraria (2011),11,1
12,Rayman Origins (2011),10,2
13,Bastion (2011),9,1
14,Shadows of the Damned (2011),8,1
15,Resistance 3 (2011),8,1
16,L.A. Noire (2011),7,1
17,Child of Eden (2011),7,1
18,Saints Row: The Third (2011),6,2
19,The Witcher 2: Assassins of Kings (2011),6,1
20,Dance Central 2 (2011),5,1
21,Pokémon Black (2010),3,1
22,LittleBigPlanet 2 (2011),3,1
23,Mortal Kombat (2011),1,1
24,To the Moon (2011),1,1
