Position,Title,TotalScore,ListsAppeared
1,Hollow Knight (2017),108,10
2,Hades (2019),104,8
3,Cuphead (2017),70,8
4,Stardew Valley (2016),69,8
5,Celeste (2018),64,7
6,Spiritfarer (2020),43,6
7,Undertale (2015),37,5
8,Dead Cells (2018),37,4
9,Wargroove (2019),36,3
10,Gris (2018),34,4
11,Shovel Knight (2014),30,3
12,Bastion (2011),28,3
13,Citizen Sleeper (2022),26,2
14,Shovel Knight: Treasure Trove (2019),25,3
15,Neon White (2022),24,2
16,Ori and the Blind Forest (2015),21,3
17,Streets of Rage 4 (2020),21,2
18,Untitled Goose Game (2019),21,3
19,Baba is You (2019),19,2
20,Disco Elysium (2019),19,2
21,Inscryption (2021),19,2
22,Inside (2016),19,2
23,Return of the Obra Dinn (2018),18,2
24,Slay the Spire (2019),16,2
25,Blasphemous (2019),15,1
26,SteamWorld Heist: Ultimate Edition (2017),15,1
27,OlliOlli World (2022),14,1
28,Huntdown (2020),14,1
29,Transistor (2014),13,1
30,Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda (2019),13,2
31,Night in the Woods (2017),13,2
32,What Remains of Edith Finch (2017),13,1
33,Nuclear Throne (2015),13,1
34,Death's Door (2021),13,1
35,Overcooked! All You Can Eat (2020),12,1
36,Divinity: Original Sin II (2017),12,1
37,Teenage Mutant Ninja Turtles: Shredder's Revenge (2022),12,1
38,Sumire (2021),11,1
39,Unpacking (2021),10,1
40,Risk of Rain 2 (2019),10,1
41,Outer Wilds (2019),9,1
42,Doki Doki Literature Club Plus! (2021),9,2
43,Little Nightmares II (2021),9,1
44,Northgard (2018),8,1
45,Firewatch (2016),8,1
46,Chicory: A Colorful Tale (2021),8,1
47,What Comes After (2020),8,1
48,Super Meat Boy (2010),7,1
49,Heaven's Vault (2019),7,1
50,The Talos Principle (2014),6,1
51,Enter the Gungeon (2016),6,1
52,The Long Dark (2017),6,1
53,Storyteller (2023),6,1
54,The Binding of Isaac: Afterbirth+ (2017),6,1
55,Cozy Grove (2021),6,1
56,Guacamelee! (2013),6,1
57,Cris Tales (2021),5,1
58,Katana Zero (2019),5,1
59,Beacon Pines (2022),5,1
60,Sayonara Wild Hearts (2019),4,1
61,Nobody Saves the World (2022),4,1
62,The Wild at Heart (2021),4,1
63,CrossCode (2018),3,1
64,Hotline Miami Collection (2017),3,1
65,Raji: An Ancient Epic (2020),3,1
66,Owlboy (2016),3,1
67,Spelunky 2 (2020),3,1
68,Cave Story+ (2011),3,1
69,Gunvolt Chronicles: Luminous Avenger iX (2019),2,1
70,I Am Dead (2020),2,1
71,Wizard of Legend (2018),2,1
72,Golf Story (2017),2,1
73,Children of Morta (2019),2,1
74,Mark of the Ninja Remastered (2018),1,1
75,Cloudpunk (2020),1,1
76,Oxenfree (2016),1,1
