Position,Title,TotalScore,ListsAppeared
1,Super Mario Galaxy (2007),94,7
2,Super Mario Galaxy 2 (2010),90,7
3,Super Smash Bros. Brawl (2008),84,8
4,The Legend of Zelda: Twilight Princess (2006),83,7
5,Metroid Prime: Trilogy (2009),69,6
6,The Legend of Zelda: Skyward Sword (2011),61,5
7,Resident Evil 4: Wii Edition (2007),53,6
8,Wii Sports (2006),41,4
9,Donkey Kong Country Returns (2010),40,5
10,Xenoblade Chronicles (2010),39,7
11,Mario Kart Wii (2008),32,4
12,New Super Mario Bros. Wii (2009),28,4
13,Rayman Origins (2011),15,2
14,Tatsunoko vs. Capcom: Ultimate All Stars (2010),15,3
15,Sin & Punishment: Star Successor (2009),14,2
16,Ōkami (2006),13,2
17,Kirby's Epic Yarn (2010),12,1
18,Metroid Prime (2002),12,1
19,Wii Sports Resort (2009),11,2
20,Mega Man 9 (2008),10,1
21,No More Heroes 2: Desperate Struggle (2010),10,1
22,Metroid Prime 3: Corruption (2007),10,2
23,Muramasa: The Demon Blade (2009),9,1
24,World of Goo (2008),8,1
25,WarioWare: Smooth Moves (2006),7,1
26,Kirby's Return to Dream Land (2011),7,2
27,Monster Hunter Tri (2009),6,1
28,Klonoa (2008),6,1
29,Mario Strikers Charged (2007),6,2
30,Super Paper Mario (2007),6,3
31,The Last Story (2011),6,1
32,No More Heroes (2007),5,1
33,Rock Band 3 (2010),5,1
34,New Play Control! Pikmin 2 (2009),5,1
35,Wii Fit (2007),5,1
36,Boom Blox Bash Party (2009),4,1
37,GoldenEye 007 (2010),4,1
38,Rock Band 2 (2008),3,1
39,Dead Space: Extraction (2009),3,1
40,Fire Emblem: Radiant Dawn (2007),3,1
41,Mario Party 8 (2007),3,1
42,Silent Hill: Shattered Memories (2009),2,1
43,Guitar Hero 5 (2009),2,1
44,Lost Heroes 2 (2015),2,1
45,Rhythm Heaven Fever (2011),1,1
46,Mario & Sonic at the London 2012 Olympic Games (2011),1,1
