Position,Title,TotalScore,ListsAppeared
1,Half-Life 2 (2004),30,2
2,Ninja Gaiden (2004),24,2
3,Grand Theft Auto: San Andreas (2004),23,2
4,Metroid Prime 2: Echoes (2004),19,2
5,Halo 2 (2004),19,2
6,Rome: Total War (2004),18,2
7,The Chronicles of Riddick: Escape from Butcher Bay (2004),14,1
8,Burnout 3: Takedown (2004),14,2
9,World of Warcraft (2004),14,1
10,Metal Gear Solid 3: Snake Eater (2004),13,1
11,World Soccer: Winning Eleven 8 International (2004),10,1
12,SingStar (2004),6,1
13,ESPN NFL 2K5 (2004),6,1
14,Doom 3 (2004),5,1
15,Full Spectrum Warrior (2004),4,1
16,Paper Mario: The Thousand-Year Door (2004),3,1
17,The Legend of Zelda: The Minish Cap (2004),2,1
18,Ratchet & Clank: Up Your Arsenal (2004),1,1
