Position,Title,TotalScore,ListsAppeared
1,Deus Ex (2000),27,2
2,Diablo II (2000),24,2
3,Final Fantasy IX (2000),23,2
4,Resident Evil Code: Veronica (2000),21,2
5,Tony Hawk's Pro Skater 2 (2000),21,2
6,The Legend of Zelda: Majora's Mask (2000),21,2
7,Baldur's Gate II: Shadows of Amn (2000),18,2
8,The Sims (2000),17,2
9,Perfect Dark (2000),15,2
10,Counter-Strike (2000),12,1
11,Paper Mario (2000),7,1
12,Vagrant Story (2000),7,1
13,Jet Grind Radio (2000),5,1
14,Spyro: Year of the Dragon (2000),4,1
15,Colin McRae Rally 2.0 (2000),2,1
16,Driver 2: Back on the Streets (2000),1,1
