Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: A Link Between Worlds (2013),15,1
2,Fire Emblem: Awakening (2012),14,1
3,Pokémon Sun (2016),13,1
4,Animal Crossing: New Leaf (2012),12,1
5,Luigi's Mansion: Dark Moon (2013),11,1
6,Monster Hunter 4 Ultimate (2014),10,1
7,The Legend of Zelda: Ocarina of Time 3D (2011),9,1
8,Picross 3D: Round 2 (2015),8,1
9,Super Mario 3D Land (2011),7,1
10,Metroid: Samus Returns (2017),6,1
11,Xenoblade Chronicles 3D (2015),5,1
12,Mario Kart 7 (2011),4,1
13,The Legend of Zelda: Majora's Mask 3D (2015),3,1
14,Monster Hunter Stories (2016),2,1
15,Theatrhythm Final Fantasy: Curtain Call (2014),1,1
