SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/articles/best-ps4-games,94,ign - 2023-04-03_15-17-50.csv
GamesRadar+,https://www.gamesradar.com/best-ps4-games/,129,gamesradar+ - 2023-04-11_16-24-42.csv
Tom's Guide,https://www.tomsguide.com/round-up/best-ps4-games,102,tom's guide - 2023-04-11_16-27-02.csv
Paste Magazine,https://www.pastemagazine.com/games/playstation-4/the-30-best-playstation-4-games,127,paste magazine - 2023-04-11_16-30-13.csv
Pushsquare,https://www.pushsquare.com/guides/best-ps4-games,164,pushsquare - 2023-04-11_16-34-33.csv
Whatoplay,https://whatoplay.com/ps4/best/,155,whatoplay - 2023-04-11_16-57-44.csv
Gaming Gorilla,https://gaminggorilla.com/best-ps4-games/,156,gaming gorilla - 2023-04-15_04-36-01.csv
Pocket-lint,https://www.pocket-lint.com/games/buyers-guides/playstation/131744-best-ps4-games-the-top-playstation-games-to-play-now/,151,pocket-lint - 2023-04-15_04-39-01.csv
Shortlist,https://www.shortlist.com/lists/the-best-ps4-games-400059,165,shortlist - 2023-04-15_04-45-22.csv
Canaltech,https://canaltech.com.br/games/os-melhores-jogos-do-ps4/,161,canaltech - 2023-05-07_13-47-21.csv
Trustedreviews,https://www.trustedreviews.com/best/best-ps4-games-3431751,197,trustedreviews - 2023-05-07_13-50-40.csv
