Position,Title,TotalScore,ListsAppeared
1,God of War (2018),123,9
2,The Witcher 3: Wild Hunt (2015),100,8
3,Red Dead Redemption 2 (2018),78,8
4,Bloodborne (2015),71,7
5,Marvel's Spider-Man (2018),62,8
6,Horizon Zero Dawn (2017),61,6
7,The Last of Us Remastered (2014),59,5
8,The Last of Us Part II (2020),59,5
9,Uncharted 4: A Thief's End (2016),51,7
10,Elden Ring (2022),48,4
11,Persona 5 Royal (2019),40,4
12,Resident Evil 2 (2019),37,6
13,Grand Theft Auto V (2013),36,5
14,Ghost of Tsushima (2020),31,5
15,God of War Ragnarök (2022),25,2
16,Final Fantasy VII Remake (2020),23,4
17,Control (2019),23,3
18,Metal Gear Solid V: The Phantom Pain (2015),22,4
19,NieR: Automata (2017),18,3
20,Mass Effect 2 (2010),18,2
21,Persona 5 (2016),17,4
22,Hades (2019),16,2
23,Fortnite (2017),16,2
24,Death Stranding (2019),15,2
25,Thumper (2016),15,1
26,Devil May Cry 5 (2019),14,2
27,Kentucky Route Zero (2013),13,1
28,Gran Turismo 7 (2022),13,1
29,Norco (2022),12,1
30,Dreams (2020),12,1
31,Resident Evil Village (2021),11,1
32,Two Point Campus (2022),10,1
33,LEGO Star Wars: The Skywalker Saga (2022),9,1
34,Undertale (2015),9,1
35,Outer Wilds (2019),8,1
36,Horizon Forbidden West (2022),8,1
37,No Man's Sky (2016),7,1
38,Yakuza 0 (2015),7,1
39,Marvel's Spider-Man: Miles Morales (2020),7,1
40,Dragon Quest XI: Echoes of an Elusive Age (2017),7,1
41,What Remains of Edith Finch (2017),6,1
42,Uncharted: The Lost Legacy (2017),6,1
43,Psychonauts 2 (2021),6,1
44,Mortal Kombat 11 (2019),6,1
45,The Quarry (2022),6,1
46,Resident Evil 7: Biohazard (2017),5,2
47,A Plague Tale: Innocence (2019),5,1
48,Assassin's Creed Odyssey (2018),5,1
49,The Last Guardian (2016),4,1
50,Rise of the Tomb Raider (2015),4,1
51,The Outer Worlds (2019),4,1
52,Journey (2012),4,1
53,Astro Bot: Rescue Mission (2018),3,1
54,Sekiro: Shadows Die Twice (2019),3,1
55,Overwatch (2016),3,1
56,The Pathless (2020),2,1
57,Final Fantasy VII (1997),2,1
58,Doom Eternal (2020),2,1
59,Ghost of Tsushima: Director's Cut (2021),1,1
60,Crash Team Racing Nitro-Fueled (2019),1,1
