Position,Title,TotalScore,ListsAppeared
1,Silent Hill (1999),15,1
2,Age of Empires II: The Age of Kings (1999),14,1
3,Final Fantasy VIII (1999),13,1
4,Crash Team Racing (1999),12,1
5,SoulCalibur (1998),11,1
6,Worms Armageddon (1999),10,1
7,Legacy of Kain: Soul Reaver (1999),9,1
8,Driver (1999),8,1
9,Quake III Arena (1999),7,1
10,Unreal Tournament (1999),6,1
11,Shenmue (1999),5,1
12,Super Smash Bros. (1999),4,1
13,Rayman 2: The Great Escape (1999),3,1
14,System Shock 2 (1999),2,1
15,Resident Evil 3: Nemesis (1999),1,1
