Position,Title,TotalScore,ListsAppeared
1,Red Dead Redemption (2010),43,3
2,Mass Effect 2 (2010),42,3
3,Super Mario Galaxy 2 (2010),35,3
4,Halo: Reach (2010),29,3
5,God of War III (2010),22,2
6,Heavy Rain (2010),22,2
7,Battlefield: Bad Company 2 (2010),18,2
8,Bayonetta (2009),18,2
9,Call of Duty: Black Ops (2010),15,2
10,Pokémon HeartGold (2009),12,1
11,StarCraft II: Wings of Liberty (2010),10,2
12,Limbo (2010),10,2
13,Assassin's Creed Brotherhood (2010),10,1
14,Fallout: New Vegas (2010),10,1
15,Super Meat Boy (2010),9,1
16,Metro 2033 (2010),7,1
17,Enslaved: Odyssey to the West (2010),6,1
18,Demon's Souls (2009),6,1
19,Rock Band 3 (2010),5,1
20,Amnesia: The Dark Descent (2010),1,1
