Position,Title,TotalScore,ListsAppeared
1,Metroid Dread (2021),114,10
2,Deathloop (2021),105,9
3,Forza Horizon 5 (2021),97,10
4,Psychonauts 2 (2021),95,9
5,Halo Infinite (2021),87,8
6,Returnal (2021),82,9
7,Resident Evil Village (2021),82,9
8,Ratchet & Clank: Rift Apart (2021),78,7
9,Hitman 3 (2021),63,8
10,Inscryption (2021),56,5
11,Chicory: A Colorful Tale (2021),56,5
12,It Takes Two (2021),56,9
13,Unpacking (2021),29,4
14,Marvel's Guardians of the Galaxy (2021),20,3
15,Unsighted (2021),20,3
16,Death's Door (2021),20,5
17,Monster Hunter Rise (2021),18,4
18,Mass Effect Legendary Edition (2021),15,3
19,Before Your Eyes (2021),15,1
20,Wildermyth (2019),14,3
21,Tales of Arise (2021),13,2
22,Super Mario 3D World (2013),12,3
23,Final Fantasy VII Remake Intergrade (2021),11,1
24,Life is Strange: True Colors (2021),11,2
25,Disco Elysium: The Final Cut (2021),10,2
26,Outer Wilds: Echoes of the Eye (2021),10,2
27,Cruelty Squad (2021),10,1
28,Persona 5 Strikers (2020),9,1
29,Elden Ring (2022),9,1
30,Overboard! (2021),9,2
31,Genesis Noir (2021),8,1
32,WarioWare: Get It Together! (2021),7,1
33,Valheim (2021),7,1
34,Qomp (2021),7,1
35,Sable (2021),7,1
36,Chorus (2021),6,1
37,Hades (2019),6,1
38,Loop Hero (2021),5,3
39,Kena: Bridge of Spirits (2021),4,1
40,The Artful Escape (2021),4,1
41,Adios (2021),2,1
42,Ghost of Tsushima: Director's Cut (2021),1,1
