Position,Title,TotalScore,ListsAppeared
1,Resident Evil 4 VR (2021),76,7
2,The Walking Dead: Saints & Sinners (2020),74,6
3,Beat Saber (2019),66,5
4,SuperHot VR (2016),61,5
5,Pistol Whip (2019),47,5
6,Population: One (2020),43,5
7,Among Us VR (2022),29,2
8,Five Nights at Freddy's: Help Wanted (2019),29,3
9,Moss (2018),28,3
10,Walkabout Mini Golf (2020),27,4
11,I Expect You to Die 2 (2021),26,2
12,Job Simulator: The 2050 Archives (2016),25,3
13,Demeo (2021),22,3
14,The Room VR: A Dark Matter (2020),20,2
15,Onward (2016),18,2
16,The Climb 2 (2021),17,2
17,Eleven: Table Tennis VR (2016),17,2
18,The Thrill of the Fight (2019),17,3
19,Real VR Fishing (2019),15,2
20,Blade & Sorcery: Nomad (2021),15,1
21,Gorilla Tag (2021),14,1
22,Star Wars: Tales from the Galaxy's Edge (2020),14,1
23,In Death Unchained (2020),13,2
24,Nock (2022),13,1
25,Warplanes: Battles over Pacific (2022),13,1
26,Unplugged (2021),13,1
27,Rec Room (2016),12,1
28,Resist (2021),11,1
29,Ultrawings 2 (2022),11,2
30,What the Bat? (2022),10,1
31,Robo Recall: Unplugged (2019),9,1
32,Cooking Simulator VR (2021),8,1
33,NFL Pro Era (2022),8,1
34,ForeVR Bowl (2021),7,1
35,Richie's Plank Experience (2016),7,1
36,Little Cities (2022),7,1
37,Contractors (2020),7,1
38,Lucky's Tale (2016),6,1
39,Marvel's Iron Man VR (2020),6,1
40,Until You Fall (2020),5,1
41,Tetris Effect: Connected (2020),5,1
42,Warplanes: WW1 Fighters (2021),4,1
43,Gods of Gravity (2023),4,1
44,Journey of the Gods (2019),3,1
45,Sniper Elite VR (2021),3,1
46,Lies Beneath (2020),3,1
47,Echo VR (2017),3,1
48,A Fisherman's Tale (2019),2,1
49,Swarm (2021),2,1
50,Red Matter 2 (2022),1,1
