Position,Title,TotalScore,ListsAppeared
1,Metroid Prime (2002),59,4
2,Grand Theft Auto: Vice City (2002),34,3
3,Super Mario Sunshine (2002),26,2
4,Tom Clancy's Splinter Cell (2002),23,2
5,Animal Crossing (2001),21,2
6,Tony Hawk's Pro Skater 4 (2002),21,2
7,Battlefield 1942 (2002),15,1
8,Kingdom Hearts (2002),13,1
9,NCAA Football 2003 (2002),13,1
10,MLB Slugfest 2003 (2002),13,1
11,The Elder Scrolls III: Morrowind (2002),12,1
12,Eternal Darkness: Sanity's Requiem (2002),11,1
13,Metal Gear Solid 2: Substance (2002),11,1
14,Mafia (2002),11,1
15,Mario Party 4 (2002),11,1
16,The Legend of Zelda: A Link to the Past (2002),10,1
17,Warcraft III: Reign of Chaos (2002),9,1
18,Virtua Fighter 4 (2001),8,1
19,Castlevania: Harmony of Dissonance (2002),7,1
20,Ratchet & Clank (2002),6,1
21,NBA 2K3 (2002),6,1
