Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Link's Awakening DX (1998),15,1
2,The Legend of Zelda: Oracle of Ages (2001),14,1
3,The Legend of Zelda: Oracle of Seasons (2001),13,1
4,Pokémon Gold Version (1999),12,1
5,Pokémon Crystal Version (2000),11,1
6,Wario Land 3 (2000),10,1
7,Metal Gear Solid (2000),9,1
8,Wario Land II (1998),8,1
9,Dragon Warrior Monsters 2: Tara's Adventure & Cobi's Journey (2001),7,1
10,Dragon Warrior III (2000),6,1
11,Mario Tennis (2000),5,1
12,Super Mario Bros. Deluxe (1999),4,1
13,Dragon Warrior Monsters (1998),3,1
14,Mario Golf (1999),2,1
15,Tetris DX (1998),1,1
