Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: Breath of the Wild (2017),30,2
2,Super Mario Odyssey (2017),25,2
3,Horizon Zero Dawn (2017),22,2
4,Resident Evil 7: Biohazard (2017),21,2
5,PUBG: Battlegrounds (2017),18,2
6,Assassin's Creed Origins (2017),14,2
7,What Remains of Edith Finch (2017),14,2
8,Wolfenstein II: The New Colossus (2017),14,2
9,Prey (2017),14,2
10,Destiny 2 (2017),13,2
11,NieR: Automata (2017),13,2
12,Persona 5 (2016),10,1
13,Cuphead (2017),9,2
14,Everything (2017),7,1
15,Uncharted: The Lost Legacy (2017),6,1
16,Butterfly Soup (2017),5,1
17,Mario + Rabbids Kingdom Battle (2017),3,1
18,Friday the 13th: The Game (2017),2,1
