Position,Title,TotalScore,ListsAppeared
1,Resident Evil (1996),75,6
2,Super Mario 64 (1996),65,5
3,Sid Meier's Civilization II (1996),42,3
4,Quake (1996),40,3
5,Diablo (1996),38,3
6,Tomb Raider (1996),35,4
7,Duke Nukem 3D (1996),34,4
8,Crash Bandicoot (1996),32,3
9,Nights Into Dreams... (1996),29,3
10,Metal Slug (1996),28,3
11,Pokémon Red (1996),26,2
12,Super Mario RPG: Legend of the Seven Stars (1996),25,3
13,Donkey Kong Country 3: Dixie Kong's Double Trouble! (1996),17,2
14,Twisted Metal 2 (1996),13,1
15,The Neverhood (1996),13,1
16,Phantasmagoria (1995),12,1
17,Wipeout XL (1996),11,1
18,Harvester (1996),10,1
19,Wave Race 64 (1996),10,1
20,Command & Conquer: Red Alert (1996),8,2
21,Lunacy (1996),7,1
22,Mortal Kombat Trilogy (1996),7,1
23,Tetris Attack (1996),7,1
24,The Elder Scrolls II: Daggerfall (1996),6,1
25,Tekken 2 (1995),6,1
26,The Vampire Diaries (1996),5,1
27,Ripper (1996),4,1
28,Master of Orion II: Battle at Antares (1996),4,1
29,Steven Spielberg's Director's Chair (1996),3,1
30,Super Puzzle Fighter II Turbo (1996),3,1
31,Muppet Treasure Island (1996),2,1
32,Pilotwings 64 (1996),2,1
33,Time Commando (1996),1,1
